team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,15,Justin Herbert,QB,LAC,QB,29.96,399.p.32676
Zeke Virus,15,Tyler Lockett,WR,Sea,WR,7.4,399.p.28457
Zeke Virus,15,Cooper Kupp,WR,LAR,WR,8.9,399.p.30182
Zeke Virus,15,Ezekiel Elliott,RB,Dal,RB,0.0,399.p.29238
Zeke Virus,15,Wayne Gallman Jr.,RB,NYG,RB,2.9,399.p.30253
Zeke Virus,15,Jonnu Smith,TE,Ten,TE,10.2,399.p.30213
Zeke Virus,15,Keke Coutee,WR,Hou,W/R/T,14.3,399.p.31073
Zeke Virus,15,T.Y. Hilton,WR,Ind,W/R/T,11.1,399.p.25802
Zeke Virus,15,Mike Williams,WR,LAC,BN,4.2,399.p.30120
Zeke Virus,15,Corey Davis,WR,Ten,BN,21.0,399.p.30118
Zeke Virus,15,Evan Engram,TE,NYG,BN,8.6,399.p.30136
Zeke Virus,15,Myles Gaskin,RB,Mia,BN,0.0,399.p.32066
Zeke Virus,15,Brandin Cooks,WR,Hou,BN,11.9,399.p.27548
Zeke Virus,15,Todd Gurley II,RB,Atl,BN,3.4,399.p.28398
Zeke Virus,15,Matt Ryan,QB,Atl,BN,30.84,399.p.8780
Zeke Virus,15,Harrison Butker,K,KC,K,6.0,399.p.30346
Zeke Virus,15,Los Angeles,DEF,LAR,DEF,2.0,399.p.100014
Zeke Virus,15,Tampa Bay,DEF,TB,BN,3.0,399.p.100027
3HeadedATK,15,Kirk Cousins,QB,Min,QB,22.34,399.p.25812
3HeadedATK,15,Tyler Boyd,WR,Cin,WR,0.0,399.p.29288
3HeadedATK,15,JuJu Smith-Schuster,WR,Pit,WR,2.5,399.p.30175
3HeadedATK,15,Nick Chubb,RB,Cle,RB,14.6,399.p.31005
3HeadedATK,15,Jonathan Taylor,RB,Ind,RB,19.5,399.p.32711
3HeadedATK,15,Darren Waller,TE,LV,TE,30.0,399.p.28592
3HeadedATK,15,Julio Jones,WR,Atl,W/R/T,0.0,399.p.24793
3HeadedATK,15,James Robinson,RB,Jax,W/R/T,14.3,399.p.33138
3HeadedATK,15,Tom Brady,QB,TB,BN,25.4,399.p.5228
3HeadedATK,15,James Conner,RB,Pit,BN,0.0,399.p.30218
3HeadedATK,15,Kenny Golladay,WR,Det,BN,0.0,399.p.30209
3HeadedATK,15,Zack Moss,RB,Buf,BN,8.1,399.p.32756
3HeadedATK,15,Noah Fant,TE,Den,BN,20.8,399.p.31852
3HeadedATK,15,Marquise Brown,WR,Bal,BN,15.8,399.p.31857
3HeadedATK,15,Michael Badgley,K,LAC,K,6.0,399.p.31366
3HeadedATK,15,Robbie Gould,K,SF,BN,10.0,399.p.7520
3HeadedATK,15,Kansas City,DEF,KC,DEF,3.0,399.p.100012
3HeadedATK,15,Denver,DEF,Den,BN,-1.0,399.p.100007
Big Bucs No Whammies,15,Kyler Murray,QB,Ari,QB,37.14,399.p.31833
Big Bucs No Whammies,15,Stefon Diggs,WR,Buf,WR,25.7,399.p.28534
Big Bucs No Whammies,15,Mike Evans,WR,TB,WR,17.0,399.p.27535
Big Bucs No Whammies,15,Derrick Henry,RB,Ten,RB,25.2,399.p.29279
Big Bucs No Whammies,15,J.D. McKissic,RB,Was,RB,25.7,399.p.29650
Big Bucs No Whammies,15,Eric Ebron,TE,Pit,TE,0.0,399.p.27538
Big Bucs No Whammies,15,Adam Thielen,WR,Min,W/R/T,9.1,399.p.27277
Big Bucs No Whammies,15,Cole Beasley,WR,Buf,W/R/T,19.2,399.p.26060
