team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,10,Justin Herbert,QB,LAC,QB,23.48,399.p.32676
Zeke Virus,10,Tyler Lockett,WR,Sea,WR,11.6,399.p.28457
Zeke Virus,10,Brandin Cooks,WR,Hou,WR,9.9,399.p.27548
Zeke Virus,10,Leonard Fournette,RB,TB,RB,5.0,399.p.30117
Zeke Virus,10,Wayne Gallman Jr.,RB,NYG,RB,19.0,399.p.30253
Zeke Virus,10,Jonnu Smith,TE,Ten,TE,9.5,399.p.30213
Zeke Virus,10,Cooper Kupp,WR,LAR,W/R/T,10.0,399.p.30182
Zeke Virus,10,Corey Davis,WR,Ten,W/R/T,11.7,399.p.30118
Zeke Virus,10,Mike Williams,WR,LAC,BN,5.8,399.p.30120
Zeke Virus,10,Todd Gurley II,RB,Atl,BN,0.0,399.p.28398
Zeke Virus,10,Ezekiel Elliott,RB,Dal,BN,0.0,399.p.29238
Zeke Virus,10,Myles Gaskin,RB,Mia,BN,0.0,399.p.32066
Zeke Virus,10,Matt Ryan,QB,Atl,BN,0.0,399.p.8780
Zeke Virus,10,Evan Engram,TE,NYG,BN,3.5,399.p.30136
Zeke Virus,10,Kai Forbath,K,LAR,K,5.0,399.p.25648
Zeke Virus,10,Harrison Butker,K,KC,BN,0.0,399.p.30346
Zeke Virus,10,Tampa Bay,DEF,TB,DEF,5.0,399.p.100027
Zeke Virus,10,Los Angeles,DEF,LAR,BN,13.0,399.p.100014
3HeadedATK,10,Tom Brady,QB,TB,QB,34.84,399.p.5228
3HeadedATK,10,JuJu Smith-Schuster,WR,Pit,WR,22.7,399.p.30175
3HeadedATK,10,Tyler Boyd,WR,Cin,WR,10.1,399.p.29288
3HeadedATK,10,James Conner,RB,Pit,RB,6.8,399.p.30218
3HeadedATK,10,Jonathan Taylor,RB,Ind,RB,5.7,399.p.32711
3HeadedATK,10,Darren Waller,TE,LV,TE,6.7,399.p.28592
3HeadedATK,10,James Robinson,RB,Jax,W/R/T,13.2,399.p.33138
3HeadedATK,10,Nick Chubb,RB,Cle,W/R/T,18.6,399.p.31005
3HeadedATK,10,Kenny Golladay,WR,Det,BN,0.0,399.p.30209
3HeadedATK,10,Zack Moss,RB,Buf,BN,2.7,399.p.32756
3HeadedATK,10,Julio Jones,WR,Atl,BN,0.0,399.p.24793
3HeadedATK,10,Noah Fant,TE,Den,BN,4.8,399.p.31852
3HeadedATK,10,Marquise Brown,WR,Bal,BN,3.4,399.p.31857
3HeadedATK,10,Carson Wentz,QB,Phi,BN,8.72,399.p.29236
3HeadedATK,10,Daniel Jones,QB,NYG,BN,22.16,399.p.31838
3HeadedATK,10,Robbie Gould,K,SF,K,8.0,399.p.7520
3HeadedATK,10,Denver,DEF,Den,DEF,-4.0,399.p.100007
3HeadedATK,10,Kansas City,DEF,KC,BN,0.0,399.p.100012
Big Bucs No Whammies,10,Kyler Murray,QB,Ari,QB,31.9,399.p.31833
Big Bucs No Whammies,10,Stefon Diggs,WR,Buf,WR,25.3,399.p.28534
Big Bucs No Whammies,10,Adam Thielen,WR,Min,WR,20.3,399.p.27277
Big Bucs No Whammies,10,Derrick Henry,RB,Ten,RB,11.9,399.p.29279
Big Bucs No Whammies,10,J.D. McKissic,RB,Was,RB,17.9,399.p.29650
Big Bucs No Whammies,10,Eric Ebron,TE,Pit,TE,5.8,399.p.27538
Big Bucs No Whammies,10,Christian Kirk,WR,Ari,W/R/T,6.7,399.p.31017
Big Bucs No Whammies,10,Rob Gronkowski,TE,TB,W/R/T,13.1,399.p.24017
Big Bucs No Whammies,10,Jerry Jeudy,WR,Den,BN,10.8,399.p.32685
Big Bucs No Whammies,10,Mike Evans,WR,TB,BN,19.7,399.p.27535
Big Bucs No Whammies,10,Nyheim Hines,RB,Ind,BN,28.5,399.p.31074
Big Bucs No Whammies,10,Cam Newton,QB,NE,BN,17.82,399.p.24788
Big Bucs No Whammies,10,Cole Beasley,WR,Buf,BN,27.9,399.p.26060
Big Bucs No Whammies,10,Latavius Murray,RB,NO,BN,5.7,399.p.26804
Big Bucs No Whammies,10,Henry Ruggs III,WR,LV,BN,6.1,399.p.32682
Big Bucs No Whammies,10,Ryan Succop,K,TB,K,17.0,399.p.9520
Big Bucs No Whammies,10,New Orleans,DEF,NO,DEF,14.0,399.p.100018
Big Bucs No Whammies,10,Tennessee,DEF,Ten,BN,0.0,399.p.100010
Birds Like I'm Julio,10,Jared Goff,QB,LAR,QB,10.48,399.p.29235
Birds Like I'm Julio,10,Justin Jefferson,WR,Min,WR,21.5,399.p.32692
Birds Like I'm Julio,10,DeVante Parker,WR,Mia,WR,5.1,399.p.28402
Birds Like I'm Julio,10,Chase Edmonds,RB,Ari,RB,10.7,399.p.31104
Birds Like I'm Julio,10,Phillip Lindsay,RB,Den,RB,0.2,399.p.31379
Birds Like I'm Julio,10,Jared Cook,TE,NO,TE,0.0,399.p.9353
Birds Like I'm Julio,10,Brandon Aiyuk,WR,SF,W/R/T,19.7,399.p.32695
Birds Like I'm Julio,10,A.J. Green,WR,Cin,W/R/T,0.0,399.p.24791
Birds Like I'm Julio,10,Gus Edwards,RB,Bal,BN,8.3,399.p.31424
Birds Like I'm Julio,10,David Johnson,RB,Hou,BN,0.0,399.p.28474
Birds Like I'm Julio,10,Amari Cooper,WR,Dal,BN,0.0,399.p.28392
