team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,11,Justin Herbert,QB,LAC,QB,30.74,399.p.32676
Zeke Virus,11,Tyler Lockett,WR,Sea,WR,21.7,399.p.28457
Zeke Virus,11,Brandin Cooks,WR,Hou,WR,12.5,399.p.27548
Zeke Virus,11,Ezekiel Elliott,RB,Dal,RB,19.4,399.p.29238
Zeke Virus,11,Todd Gurley II,RB,Atl,RB,3.9,399.p.28398
Zeke Virus,11,Jonnu Smith,TE,Ten,TE,12.0,399.p.30213
Zeke Virus,11,Cooper Kupp,WR,LAR,W/R/T,25.5,399.p.30182
Zeke Virus,11,Mike Williams,WR,LAC,W/R/T,17.2,399.p.30120
Zeke Virus,11,Corey Davis,WR,Ten,BN,16.3,399.p.30118
Zeke Virus,11,Leonard Fournette,RB,TB,BN,9.6,399.p.30117
Zeke Virus,11,Wayne Gallman Jr.,RB,NYG,BN,0.0,399.p.30253
Zeke Virus,11,Myles Gaskin,RB,Mia,BN,0.0,399.p.32066
Zeke Virus,11,Matt Ryan,QB,Atl,BN,7.28,399.p.8780
Zeke Virus,11,Evan Engram,TE,NYG,BN,0.0,399.p.30136
Zeke Virus,11,Marquez Valdes-Scantling,WR,GB,BN,6.5,399.p.31144
Zeke Virus,11,Harrison Butker,K,KC,K,5.0,399.p.30346
Zeke Virus,11,Tampa Bay,DEF,TB,DEF,4.0,399.p.100027
Zeke Virus,11,Los Angeles,DEF,LAR,BN,5.0,399.p.100014
3HeadedATK,11,Tom Brady,QB,TB,QB,16.64,399.p.5228
3HeadedATK,11,Tyler Boyd,WR,Cin,WR,17.5,399.p.29288
3HeadedATK,11,Kenny Golladay,WR,Det,WR,0.0,399.p.30209
3HeadedATK,11,James Conner,RB,Pit,RB,12.9,399.p.30218
3HeadedATK,11,Nick Chubb,RB,Cle,RB,11.4,399.p.31005
3HeadedATK,11,Darren Waller,TE,LV,TE,21.8,399.p.28592
3HeadedATK,11,Julio Jones,WR,Atl,W/R/T,5.9,399.p.24793
3HeadedATK,11,James Robinson,RB,Jax,W/R/T,11.4,399.p.33138
3HeadedATK,11,JuJu Smith-Schuster,WR,Pit,BN,5.9,399.p.30175
3HeadedATK,11,Jonathan Taylor,RB,Ind,BN,15.4,399.p.32711
3HeadedATK,11,Zack Moss,RB,Buf,BN,0.0,399.p.32756
3HeadedATK,11,Noah Fant,TE,Den,BN,9.5,399.p.31852
3HeadedATK,11,Marquise Brown,WR,Bal,BN,0.0,399.p.31857
3HeadedATK,11,Carson Wentz,QB,Phi,BN,18.4,399.p.29236
