team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,13,Justin Herbert,QB,LAC,QB,6.36,399.p.32676
Zeke Virus,13,Tyler Lockett,WR,Sea,WR,12.3,399.p.28457
Zeke Virus,13,Cooper Kupp,WR,LAR,WR,15.3,399.p.30182
Zeke Virus,13,Ezekiel Elliott,RB,Dal,RB,13.5,399.p.29238
Zeke Virus,13,Wayne Gallman Jr.,RB,NYG,RB,13.5,399.p.30253
Zeke Virus,13,Evan Engram,TE,NYG,TE,7.2,399.p.30136
Zeke Virus,13,Brandin Cooks,WR,Hou,W/R/T,11.5,399.p.27548
Zeke Virus,13,Myles Gaskin,RB,Mia,W/R/T,14.1,399.p.32066
Zeke Virus,13,Mike Williams,WR,LAC,BN,8.3,399.p.30120
Zeke Virus,13,Todd Gurley II,RB,Atl,BN,3.0,399.p.28398
Zeke Virus,13,Jonnu Smith,TE,Ten,BN,0.0,399.p.30213
Zeke Virus,13,Corey Davis,WR,Ten,BN,35.2,399.p.30118
Zeke Virus,13,Leonard Fournette,RB,TB,BN,0.0,399.p.30117
Zeke Virus,13,Matt Ryan,QB,Atl,BN,13.92,399.p.8780
Zeke Virus,13,Marquez Valdes-Scantling,WR,GB,BN,-0.4,399.p.31144
Zeke Virus,13,Harrison Butker,K,KC,K,17.0,399.p.30346
Zeke Virus,13,Los Angeles,DEF,LAR,DEF,11.0,399.p.100014
Zeke Virus,13,Tampa Bay,DEF,TB,BN,0.0,399.p.100027
3HeadedATK,13,Kirk Cousins,QB,Min,QB,25.4,399.p.25812
3HeadedATK,13,Tyler Boyd,WR,Cin,WR,14.2,399.p.29288
3HeadedATK,13,JuJu Smith-Schuster,WR,Pit,WR,9.8,399.p.30175
3HeadedATK,13,Nick Chubb,RB,Cle,RB,17.6,399.p.31005
3HeadedATK,13,Jonathan Taylor,RB,Ind,RB,22.5,399.p.32711
3HeadedATK,13,Darren Waller,TE,LV,TE,45.0,399.p.28592
3HeadedATK,13,Julio Jones,WR,Atl,W/R/T,15.4,399.p.24793
3HeadedATK,13,James Robinson,RB,Jax,W/R/T,22.8,399.p.33138
