team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,4,Jared Goff,QB,LAR,QB,12.7,399.p.29235
Zeke Virus,4,Odell Beckham Jr.,WR,Cle,WR,38.4,399.p.27540
Zeke Virus,4,Cooper Kupp,WR,LAR,WR,17.7,399.p.30182
Zeke Virus,4,Todd Gurley II,RB,Atl,RB,19.3,399.p.28398
Zeke Virus,4,Ezekiel Elliott,RB,Dal,RB,20.5,399.p.29238
Zeke Virus,4,Evan Engram,TE,NYG,TE,9.5,399.p.30136
Zeke Virus,4,David Johnson,RB,Hou,W/R/T,11.2,399.p.28474
Zeke Virus,4,Brandin Cooks,WR,Hou,W/R/T,0.0,399.p.27548
Zeke Virus,4,Jonnu Smith,TE,Ten,BN,0.0,399.p.30213
Zeke Virus,4,Matt Ryan,QB,Atl,BN,12.4,399.p.8780
Zeke Virus,4,Leonard Fournette,RB,TB,BN,0.0,399.p.30117
Zeke Virus,4,Corey Davis,WR,Ten,BN,0.0,399.p.30118
Zeke Virus,4,Sterling Shepard,WR,NYG,BN,0.0,399.p.29274
Zeke Virus,4,Myles Gaskin,RB,Mia,BN,9.2,399.p.32066
Zeke Virus,4,Devonta Freeman,RB,NYG,BN,10.8,399.p.27631
Zeke Virus,4,Mason Crosby,K,GB,K,7.0,399.p.8447
Zeke Virus,4,Harrison Butker,K,KC,BN,8.0,399.p.30346
Zeke Virus,4,Los Angeles,DEF,LAC,DEF,4.0,399.p.100024
3HeadedATK,4,Tom Brady,QB,TB,QB,38.46,399.p.5228
3HeadedATK,4,Tyler Boyd,WR,Cin,WR,16.4,399.p.29288
3HeadedATK,4,Kenny Golladay,WR,Det,WR,16.2,399.p.30209
3HeadedATK,4,Nick Chubb,RB,Cle,RB,4.3,399.p.31005
3HeadedATK,4,James Robinson,RB,Jax,RB,14.7,399.p.33138
3HeadedATK,4,Darren Waller,TE,LV,TE,15.8,399.p.28592
3HeadedATK,4,Jonathan Taylor,RB,Ind,W/R/T,8.9,399.p.32711
3HeadedATK,4,Julio Jones,WR,Atl,W/R/T,7.2,399.p.24793
3HeadedATK,4,JuJu Smith-Schuster,WR,Pit,BN,0.0,399.p.30175
3HeadedATK,4,James Conner,RB,Pit,BN,0.0,399.p.30218
3HeadedATK,4,Marquise Brown,WR,Bal,BN,12.6,399.p.31857
3HeadedATK,4,Zack Moss,RB,Buf,BN,0.0,399.p.32756
3HeadedATK,4,Carson Wentz,QB,Phi,BN,23.42,399.p.29236
3HeadedATK,4,Noah Fant,TE,Den,BN,8.5,399.p.31852
3HeadedATK,4,Daniel Jones,QB,NYG,BN,11.1,399.p.31838
3HeadedATK,4,Robbie Gould,K,SF,K,2.0,399.p.7520
3HeadedATK,4,Denver,DEF,Den,DEF,6.0,399.p.100007
3HeadedATK,4,Kansas City,DEF,KC,BN,20.0,399.p.100012
Big Bucs No Whammies,4,Kyler Murray,QB,Ari,QB,26.12,399.p.31833
Big Bucs No Whammies,4,Mike Evans,WR,TB,WR,25.2,399.p.27535
Big Bucs No Whammies,4,Adam Thielen,WR,Min,WR,26.2,399.p.27277
Big Bucs No Whammies,4,Nyheim Hines,RB,Ind,RB,6.2,399.p.31074
