team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,12,Justin Herbert,QB,LAC,QB,18.44,399.p.32676
Zeke Virus,12,Tyler Lockett,WR,Sea,WR,5.3,399.p.28457
Zeke Virus,12,Brandin Cooks,WR,Hou,WR,13.5,399.p.27548
Zeke Virus,12,Ezekiel Elliott,RB,Dal,RB,2.9,399.p.29238
Zeke Virus,12,Wayne Gallman Jr.,RB,NYG,RB,18.1,399.p.30253
Zeke Virus,12,Evan Engram,TE,NYG,TE,16.9,399.p.30136
Zeke Virus,12,Mike Williams,WR,LAC,W/R/T,5.6,399.p.30120
Zeke Virus,12,Cooper Kupp,WR,LAR,W/R/T,6.1,399.p.30182
Zeke Virus,12,Todd Gurley II,RB,Atl,BN,0.0,399.p.28398
Zeke Virus,12,Jonnu Smith,TE,Ten,BN,0.0,399.p.30213
Zeke Virus,12,Corey Davis,WR,Ten,BN,10.0,399.p.30118
Zeke Virus,12,Leonard Fournette,RB,TB,BN,5.0,399.p.30117
Zeke Virus,12,Myles Gaskin,RB,Mia,BN,0.0,399.p.32066
Zeke Virus,12,Matt Ryan,QB,Atl,BN,16.9,399.p.8780
Zeke Virus,12,Marquez Valdes-Scantling,WR,GB,BN,0.0,399.p.31144
Zeke Virus,12,Harrison Butker,K,KC,K,9.0,399.p.30346
Zeke Virus,12,Los Angeles,DEF,LAR,DEF,15.0,399.p.100014
Zeke Virus,12,Tampa Bay,DEF,TB,BN,4.0,399.p.100027
3HeadedATK,12,Tom Brady,QB,TB,QB,26.7,399.p.5228
3HeadedATK,12,Tyler Boyd,WR,Cin,WR,4.5,399.p.29288
3HeadedATK,12,Kenny Golladay,WR,Det,WR,0.0,399.p.30209
3HeadedATK,12,James Conner,RB,Pit,RB,0.0,399.p.30218
3HeadedATK,12,Nick Chubb,RB,Cle,RB,26.6,399.p.31005
3HeadedATK,12,Darren Waller,TE,LV,TE,6.3,399.p.28592
3HeadedATK,12,Julio Jones,WR,Atl,W/R/T,0.0,399.p.24793
3HeadedATK,12,James Robinson,RB,Jax,W/R/T,26.9,399.p.33138
3HeadedATK,12,JuJu Smith-Schuster,WR,Pit,BN,17.7,399.p.30175
3HeadedATK,12,Jonathan Taylor,RB,Ind,BN,0.0,399.p.32711
3HeadedATK,12,Zack Moss,RB,Buf,BN,8.8,399.p.32756
3HeadedATK,12,Noah Fant,TE,Den,BN,2.3,399.p.31852
3HeadedATK,12,Marquise Brown,WR,Bal,BN,18.5,399.p.31857
3HeadedATK,12,Carson Wentz,QB,Phi,BN,21.8,399.p.29236
3HeadedATK,12,Michael Badgley,K,LAC,K,3.0,399.p.31366
3HeadedATK,12,Robbie Gould,K,SF,BN,14.0,399.p.7520
3HeadedATK,12,Kansas City,DEF,KC,DEF,5.0,399.p.100012
3HeadedATK,12,Denver,DEF,Den,BN,4.0,399.p.100007
Big Bucs No Whammies,12,Kyler Murray,QB,Ari,QB,8.9,399.p.31833
Big Bucs No Whammies,12,Mike Evans,WR,TB,WR,20.0,399.p.27535
Big Bucs No Whammies,12,Stefon Diggs,WR,Buf,WR,10.9,399.p.28534
Big Bucs No Whammies,12,Derrick Henry,RB,Ten,RB,38.5,399.p.29279
Big Bucs No Whammies,12,J.D. McKissic,RB,Was,RB,4.7,399.p.29650
Big Bucs No Whammies,12,Will Dissly,TE,Sea,TE,0.0,399.p.31090
Big Bucs No Whammies,12,Nyheim Hines,RB,Ind,W/R/T,17.5,399.p.31074
Big Bucs No Whammies,12,Jerry Jeudy,WR,Den,W/R/T,0.0,399.p.32685
Big Bucs No Whammies,12,Eric Ebron,TE,Pit,BN,12.4,399.p.27538
Big Bucs No Whammies,12,Cole Beasley,WR,Buf,BN,10.3,399.p.26060
Big Bucs No Whammies,12,Christian Kirk,WR,Ari,BN,4.9,399.p.31017
Big Bucs No Whammies,12,Rob Gronkowski,TE,TB,BN,16.6,399.p.24017
Big Bucs No Whammies,12,Adam Thielen,WR,Min,BN,0.0,399.p.27277
Big Bucs No Whammies,12,Cam Newton,QB,NE,BN,5.96,399.p.24788
Big Bucs No Whammies,12,Latavius Murray,RB,NO,BN,25.6,399.p.26804
Big Bucs No Whammies,12,Joey Slye,K,Car,K,10.0,399.p.32384
Big Bucs No Whammies,12,Ryan Succop,K,TB,BN,6.0,399.p.9520
Big Bucs No Whammies,12,New Orleans,DEF,NO,DEF,14.0,399.p.100018
Birds Like I'm Julio,12,Patrick Mahomes,QB,KC,QB,34.28,399.p.30123
Birds Like I'm Julio,12,Justin Jefferson,WR,Min,WR,26.0,399.p.32692
Birds Like I'm Julio,12,DeVante Parker,WR,Mia,WR,19.9,399.p.28402
Birds Like I'm Julio,12,Gus Edwards,RB,Bal,RB,7.0,399.p.31424
Birds Like I'm Julio,12,Jamaal Williams,RB,GB,RB,13.3,399.p.30247
Birds Like I'm Julio,12,Robert Tonyan,TE,GB,TE,17.7,399.p.30777
Birds Like I'm Julio,12,A.J. Green,WR,Cin,W/R/T,0.0,399.p.24791
