team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,2,Matt Ryan,QB,Atl,QB,32.52,399.p.8780
Zeke Virus,2,Odell Beckham Jr.,WR,Cle,WR,17.4,399.p.27540
Zeke Virus,2,Cooper Kupp,WR,LAR,WR,13.0,399.p.30182
Zeke Virus,2,Ezekiel Elliott,RB,Dal,RB,22.2,399.p.29238
Zeke Virus,2,Todd Gurley II,RB,Atl,RB,6.1,399.p.28398
Zeke Virus,2,Jonnu Smith,TE,Ten,TE,24.4,399.p.30213
Zeke Virus,2,David Johnson,RB,Hou,W/R/T,7.0,399.p.28474
Zeke Virus,2,Corey Davis,WR,Ten,W/R/T,12.6,399.p.30118
Zeke Virus,2,Benny Snell Jr.,RB,Pit,BN,-0.9,399.p.31954
Zeke Virus,2,Brandin Cooks,WR,Hou,BN,14.5,399.p.27548
Zeke Virus,2,Evan Engram,TE,NYG,BN,12.5,399.p.30136
Zeke Virus,2,Leonard Fournette,RB,TB,BN,27.6,399.p.30117
Zeke Virus,2,Sterling Shepard,WR,NYG,BN,5.5,399.p.29274
Zeke Virus,2,Jared Goff,QB,LAR,BN,26.98,399.p.29235
Zeke Virus,2,Myles Gaskin,RB,Mia,BN,14.2,399.p.32066
Zeke Virus,2,Harrison Butker,K,KC,K,13.0,399.p.30346
Zeke Virus,2,Tennessee,DEF,Ten,DEF,5.0,399.p.100010
Zeke Virus,2,Minnesota,DEF,Min,BN,4.0,399.p.100016
3HeadedATK,2,Tom Brady,QB,TB,QB,10.68,399.p.5228
3HeadedATK,2,Julio Jones,WR,Atl,WR,4.4,399.p.24793
3HeadedATK,2,Kenny Golladay,WR,Det,WR,0.0,399.p.30209
3HeadedATK,2,Nick Chubb,RB,Cle,RB,26.3,399.p.31005
3HeadedATK,2,James Conner,RB,Pit,RB,20.1,399.p.30218
3HeadedATK,2,Darren Waller,TE,LV,TE,28.5,399.p.28592
3HeadedATK,2,Jonathan Taylor,RB,Ind,W/R/T,19.0,399.p.32711
3HeadedATK,2,JuJu Smith-Schuster,WR,Pit,W/R/T,11.8,399.p.30175
3HeadedATK,2,Tyler Boyd,WR,Cin,BN,20.2,399.p.29288
3HeadedATK,2,Marquise Brown,WR,Bal,BN,9.2,399.p.31857
3HeadedATK,2,Zack Moss,RB,Buf,BN,3.7,399.p.32756
3HeadedATK,2,Carson Wentz,QB,Phi,BN,14.38,399.p.29236
3HeadedATK,2,Noah Fant,TE,Den,BN,17.7,399.p.31852
3HeadedATK,2,Daniel Jones,QB,NYG,BN,8.74,399.p.31838
3HeadedATK,2,James Robinson,RB,Jax,BN,21.0,399.p.33138
3HeadedATK,2,Robbie Gould,K,SF,K,8.0,399.p.7520
3HeadedATK,2,Denver,DEF,Den,DEF,5.0,399.p.100007
3HeadedATK,2,Kansas City,DEF,KC,BN,5.0,399.p.100012
Big Bucs No Whammies,2,Kyler Murray,QB,Ari,QB,34.14,399.p.31833
Big Bucs No Whammies,2,Adam Thielen,WR,Min,WR,6.1,399.p.27277
Big Bucs No Whammies,2,Mike Evans,WR,TB,WR,23.4,399.p.27535
Big Bucs No Whammies,2,Derrick Henry,RB,Ten,RB,8.4,399.p.29279
Big Bucs No Whammies,2,Nyheim Hines,RB,Ind,RB,1.4,399.p.31074
Big Bucs No Whammies,2,Eric Ebron,TE,Pit,TE,7.3,399.p.27538
Big Bucs No Whammies,2,Stefon Diggs,WR,Buf,W/R/T,29.3,399.p.28534
Big Bucs No Whammies,2,Christian Kirk,WR,Ari,W/R/T,8.0,399.p.31017
Big Bucs No Whammies,2,Julian Edelman,WR,NE,BN,25.9,399.p.9496
Big Bucs No Whammies,2,Cam Newton,QB,NE,BN,36.58,399.p.24788
Big Bucs No Whammies,2,John Brown,WR,Buf,BN,18.2,399.p.27619
Big Bucs No Whammies,2,Tevin Coleman,RB,SF,BN,6.0,399.p.28461
Big Bucs No Whammies,2,Rob Gronkowski,TE,TB,BN,0.0,399.p.24017
Big Bucs No Whammies,2,Jerry Jeudy,WR,Den,BN,10.2,399.p.32685
Big Bucs No Whammies,2,Scotty Miller,WR,TB,BN,3.2,399.p.32040
Big Bucs No Whammies,2,O.J. Howard,TE,TB,BN,2.1,399.p.30132
Big Bucs No Whammies,2,Ryan Succop,K,TB,K,7.0,399.p.9520
Big Bucs No Whammies,2,Tampa Bay,DEF,TB,DEF,14.0,399.p.100027
Birds Like I'm Julio,2,Patrick Mahomes,QB,KC,QB,29.48,399.p.30123
Birds Like I'm Julio,2,Amari Cooper,WR,Dal,WR,16.0,399.p.28392
Birds Like I'm Julio,2,Tyler Lockett,WR,Sea,WR,19.7,399.p.28457
Birds Like I'm Julio,2,Saquon Barkley,RB,NYG,RB,2.8,399.p.30972
Birds Like I'm Julio,2,Mark Ingram II,RB,Bal,RB,15.7,399.p.24815
Birds Like I'm Julio,2,Jared Cook,TE,NO,TE,9.3,399.p.9353
Birds Like I'm Julio,2,A.J. Green,WR,Cin,W/R/T,5.9,399.p.24791
Birds Like I'm Julio,2,DeVante Parker,WR,Mia,W/R/T,16.3,399.p.28402
Birds Like I'm Julio,2,George Kittle,TE,SF,BN,0.0,399.p.30259
Birds Like I'm Julio,2,Boston Scott,RB,Phi,BN,7.3,399.p.31171
Birds Like I'm Julio,2,Phillip Lindsay,RB,Den,BN,0.0,399.p.31379
Birds Like I'm Julio,2,Latavius Murray,RB,NO,BN,5.3,399.p.26804
Birds Like I'm Julio,2,Mecole Hardman,WR,KC,BN,7.3,399.p.31888
Birds Like I'm Julio,2,Jimmy Garoppolo,QB,SF,BN,15.24,399.p.27590
Birds Like I'm Julio,2,Brandon Aiyuk,WR,SF,BN,4.1,399.p.32695
Birds Like I'm Julio,2,Greg Zuerlein,K,Dal,K,11.0,399.p.25881
Birds Like I'm Julio,2,Pittsburgh,DEF,Pit,DEF,13.0,399.p.100023
DJeango,2,Matthew Stafford,QB,Det,QB,19.16,399.p.9265
DJeango,2,DJ Moore,WR,Car,WR,20.0,399.p.30994
DJeango,2,Robert Woods,WR,LAR,WR,11.3,399.p.26664
DJeango,2,Christian McCaffrey,RB,Car,RB,24.8,399.p.30121
DJeango,2,Raheem Mostert,RB,SF,RB,18.7,399.p.28654
DJeango,2,Travis Kelce,TE,KC,TE,24.0,399.p.26686
DJeango,2,T.Y. Hilton,WR,Ind,W/R/T,5.8,399.p.25802
DJeango,2,Sammy Watkins,WR,KC,W/R/T,2.1,399.p.27532
DJeango,2,Chris Godwin,WR,TB,BN,0.0,399.p.30197
DJeango,2,David Montgomery,RB,Chi,BN,21.7,399.p.31905
DJeango,2,Antonio Gibson,RB,Was,BN,12.2,399.p.32736
DJeango,2,Baker Mayfield,QB,Cle,BN,18.26,399.p.30971
DJeango,2,Sony Michel,RB,NE,BN,1.9,399.p.31001
DJeango,2,Jamison Crowder,WR,NYJ,BN,0.0,399.p.28493
DJeango,2,Mike Gesicki,TE,Mia,BN,27.0,399.p.31012
DJeango,2,DeSean Jackson,WR,Phi,BN,12.4,399.p.8826
DJeango,2,Matt Prater,K,Det,K,3.0,399.p.8565
DJeango,2,Buffalo,DEF,Buf,DEF,2.0,399.p.100002
Eli Man Penguin Boy,2,Aaron Rodgers,QB,GB,QB,21.2,399.p.7200
Eli Man Penguin Boy,2,DJ Chark Jr.,WR,Jax,WR,12.4,399.p.31031
