team_name,week,player_name,player_position,player_team,lineup_position,fantasy_points,player_key
Zeke Virus,8,Justin Herbert,QB,LAC,QB,26.22,399.p.32676
Zeke Virus,8,Tyler Lockett,WR,Sea,WR,7.3,399.p.28457
Zeke Virus,8,Cooper Kupp,WR,LAR,WR,22.0,399.p.30182
Zeke Virus,8,Todd Gurley II,RB,Atl,RB,10.6,399.p.28398
Zeke Virus,8,Ezekiel Elliott,RB,Dal,RB,8.3,399.p.29238
Zeke Virus,8,Jonnu Smith,TE,Ten,TE,4.9,399.p.30213
Zeke Virus,8,Mike Williams,WR,LAC,W/R/T,21.0,399.p.30120
Zeke Virus,8,Corey Davis,WR,Ten,W/R/T,26.8,399.p.30118
Zeke Virus,8,Matt Ryan,QB,Atl,BN,18.94,399.p.8780
Zeke Virus,8,Brandin Cooks,WR,Hou,BN,0.0,399.p.27548
Zeke Virus,8,Evan Engram,TE,NYG,BN,12.0,399.p.30136
Zeke Virus,8,Myles Gaskin,RB,Mia,BN,13.3,399.p.32066
Zeke Virus,8,Leonard Fournette,RB,TB,BN,10.1,399.p.30117
Zeke Virus,8,Devonta Freeman,RB,NYG,BN,0.0,399.p.27631
Zeke Virus,8,Tevin Coleman,RB,SF,BN,2.0,399.p.28461
Zeke Virus,8,Harrison Butker,K,KC,K,5.0,399.p.30346
Zeke Virus,8,Tampa Bay,DEF,TB,DEF,7.0,399.p.100027
Zeke Virus,8,Chicago,DEF,Chi,BN,1.0,399.p.100003
3HeadedATK,8,Tom Brady,QB,TB,QB,21.06,399.p.5228
3HeadedATK,8,JuJu Smith-Schuster,WR,Pit,WR,13.7,399.p.30175
3HeadedATK,8,Kenny Golladay,WR,Det,WR,0.0,399.p.30209
3HeadedATK,8,James Conner,RB,Pit,RB,15.0,399.p.30218
3HeadedATK,8,Jonathan Taylor,RB,Ind,RB,5.1,399.p.32711
3HeadedATK,8,Darren Waller,TE,LV,TE,7.8,399.p.28592
3HeadedATK,8,Julio Jones,WR,Atl,W/R/T,20.7,399.p.24793
3HeadedATK,8,Tyler Boyd,WR,Cin,W/R/T,19.6,399.p.29288
3HeadedATK,8,Noah Fant,TE,Den,BN,11.7,399.p.31852
3HeadedATK,8,James Robinson,RB,Jax,BN,0.0,399.p.33138
3HeadedATK,8,Nick Chubb,RB,Cle,BN,0.0,399.p.31005
3HeadedATK,8,Marquise Brown,WR,Bal,BN,7.3,399.p.31857
3HeadedATK,8,Zack Moss,RB,Buf,BN,20.1,399.p.32756
3HeadedATK,8,Carson Wentz,QB,Phi,BN,12.62,399.p.29236
3HeadedATK,8,Daniel Jones,QB,NYG,BN,20.24,399.p.31838
3HeadedATK,8,Robbie Gould,K,SF,K,3.0,399.p.7520
3HeadedATK,8,Kansas City,DEF,KC,DEF,9.0,399.p.100012
3HeadedATK,8,Denver,DEF,Den,BN,5.0,399.p.100007
Big Bucs No Whammies,8,Cam Newton,QB,NE,QB,18.36,399.p.24788
Big Bucs No Whammies,8,Stefon Diggs,WR,Buf,WR,15.2,399.p.28534
Big Bucs No Whammies,8,Adam Thielen,WR,Min,WR,5.7,399.p.27277
Big Bucs No Whammies,8,Derrick Henry,RB,Ten,RB,17.2,399.p.29279
Big Bucs No Whammies,8,Nyheim Hines,RB,Ind,RB,21.2,399.p.31074
Big Bucs No Whammies,8,Rob Gronkowski,TE,TB,TE,14.1,399.p.24017
Big Bucs No Whammies,8,Mike Evans,WR,TB,W/R/T,16.5,399.p.27535
Big Bucs No Whammies,8,Scotty Miller,WR,TB,W/R/T,7.2,399.p.32040
